x,Landau16000
-0.989,1.49322
-0.95598,1.45446
-0.89821,1.41085
-0.86795,1.38178
-0.81293,1.35271
-0.77166,1.32364
-0.71664,1.30669
-0.66713,1.28731
-0.6011,1.26793
-0.55433,1.26066
-0.48006,1.25097
-0.44154,1.2437
-0.34801,1.24128
-0.31774,1.2437
-0.24072,1.2437
-0.2022,1.24612
-0.12792,1.25339
-0.0784,1.25339
-0.00688,1.25824
0.03714,1.2655
0.11417,1.27035
0.15818,1.27519
0.22696,1.27762
0.26823,1.28488
0.3425,1.29215
0.38652,1.29457
0.48556,1.29942
0.6011,1.30426
0.71939,1.31638
0.82393,1.3188
0.8652,1.32122
0.91472,1.32364
0.97524,1.32607
1.04127,1.32607
1.09354,1.32849
1.16231,1.32849
1.20358,1.32607
1.28611,1.33091
1.32462,1.33091
1.37689,1.33091
1.45117,1.33091
1.51169,1.33333
2.43054,1.33333
2.49656,1.33333
2.6066,1.33333
2.65612,1.33333
2.72215,1.33333
2.78267,1.33333
2.82669,1.33091
