x,Landau320mu
-1.00378,1.34993
-0.96223,1.31009
-0.90935,1.27025
-0.8678,1.24037
-0.80737,1.21381
-0.76582,1.18725
-0.69783,1.16401
-0.64117,1.14409
-0.58074,1.13745
-0.52408,1.13081
-0.45987,1.12417
-0.40699,1.12417
-0.32767,1.12085
-0.22946,1.13081
-0.11237,1.13745
0.0085,1.15073
0.13314,1.16069
0.23513,1.17065
0.36733,1.18393
0.48442,1.19057
0.59018,1.19721
0.72616,1.20385
0.83192,1.20717
0.94901,1.21381
1.08499,1.21713
1.1983,1.21713
1.32295,1.22045
1.42493,1.21713
1.56468,1.22045
1.69311,1.22377
1.81398,1.22377
1.89707,1.22377
2.46742,1.22377
2.69027,1.22377
2.92823,1.22709
